Date,Price
2005-03,10000
2005-04,9861.228035345857
2005-05,10666.836337509374
2005-06,10958.76389270929
2005-07,11346.689555918436
2005-08,11148.4449531423
2005-09,11503.084592230123
2005-10,11361.1845586443
2005-11,12002.097485818043
2005-12,12032.160429136007
2006-01,12052.46403461267
2006-02,12270.888684480939
2006-03,12257.011492298247
2006-04,11943.839914821418
2006-05,11383.972248252054
2006-06,11446.72587454093
2006-07,11520.742923101354
2006-08,11768.678977449728
2006-09,12165.48171733718
2006-10,12481.765073885936
2006-11,12267.221080125297
2006-12,12480.087224537889
2007-01,12867.69745908333
2007-02,12438.118047241134
2007-03,12490.711379830298
2007-04,12710.269769179276
2007-05,13382.46742632471
2007-06,13129.426816405588
2007-07,12578.540762166282
2007-08,12821.071830495908
2007-09,12796.092914235773
2007-10,12854.603938567592
2007-11,12099.788216703299
2007-12,12092.464832028149
2008-01,11225.892422100347
2008-02,10664.031647586737
2008-03,10121.232855446153
2008-04,10825.9957527804
2008-05,11061.839736543006
2008-06,10034.141716892362
2008-07,10006.944830554914
2008-08,10736.181775185505
2008-09,10224.042392813952
2008-10,9314.483697035612
2008-11,8634.59051276373
2008-12,7961.192745743469
2009-01,7945.332314497084
2009-02,7200.023617335983
2009-03,7492.142332131534
2009-04,8260.89824004998
2009-05,8243.050697911169
2009-06,8298.189476723834
2009-07,8862.514237610529
2009-08,9035.03741996722
2009-09,9224.303438111372
2009-10,8936.45899817261
2009-11,9311.465547571395
2009-12,9948.803758279455
2010-01,9890.209106667606
2010-02,10402.798473992701
2010-03,11143.131314475051
2010-04,11511.79590026661
2010-05,11473.824078279687
2010-06,10886.802638105157
2010-07,10944.949006059158
2010-08,10736.000964880079
2010-09,10886.456377568964
2010-10,11100.788758944534
2010-11,11858.325171040846
2010-12,12283.163211426923
2011-01,12276.882601222524
2011-02,12636.512228729505
2011-03,12302.87925168623
2011-04,12103.090097724793
2011-05,12330.367217862522
2011-06,12009.328944663917
2011-07,11865.671622207065
2011-08,11217.284345657867
2011-09,11111.375172286012
2011-10,11850.597198262698
2011-11,12219.663240184222
2011-12,12753.248638472976
2012-01,13263.464744850802
2012-02,13535.955213941548
2012-03,13966.073651005201
2012-04,13985.906782739194
2012-05,14014.907794785819
2012-06,14191.791718289373
2012-07,14830.54633556183
2012-08,14839.3789923467
2012-09,14922.721189589927
2012-10,14570.274696310376
2012-11,14595.978943636288
2012-12,14542.940369363085
2013-01,14836.399084484285
2013-02,15574.922342821674
2013-03,16418.696397302512
2013-04,16267.629904771133
2013-05,16883.691376311534
2013-06,16560.861764121255
2013-07,17071.373874847253
2013-08,16736.27738998992
2013-09,16844.767513969262
2013-10,17507.73170743565
2013-11,17938.116484482172
2013-12,18190.094039070667
2014-01,17946.511743170653
2014-02,18333.527316215008
2014-03,18524.454563643394
2014-04,18555.588399672793
2014-05,19285.54625237275
2014-06,19678.347985464567
2014-07,19867.13366657166
2014-08,20970.21141863722
2014-09,21421.200515881814
2014-10,22069.52208368637
2014-11,22733.222011508282
2014-12,23320.46622707523
2015-01,24203.581696855246
2015-02,25847.568826500283
2015-03,26490.150110276212
2015-04,25703.95213031436
2015-05,26941.753668851434
2015-06,25588.840904234414
2015-07,26241.414357571277
2015-08,24313.469154390772
2015-09,23155.74147323494
2015-10,25894.238395812856
2015-11,27136.91103627537
2015-12,25868.534618344966
2016-01,23779.79445825012
2016-02,24540.191841439697
2016-03,25048.253589192565
2016-04,25114.05406290548
2016-05,26242.069895168956
2016-06,26360.652020815265
2016-07,27160.057196521095
2016-08,27320.30427539365
2016-09,27111.470641850294
2016-10,27290.743125548714
2016-11,29222.252620801893
2016-12,30254.145015238588
2017-01,29869.136588155554
2017-02,31637.62351843108
2017-03,31338.18228233225
2017-04,31056.57715474654
2017-05,30463.764243328893
2017-06,30265.100020096415
2017-07,30040.80596586288
2017-08,29764.780306104094
2017-09,30570.335618585876
2017-10,31702.584900816237
2017-11,31869.42844186359
2017-12,32052.2373091853
2018-01,32689.480239886067
2018-02,32009.927609578812
2018-03,30980.4965431243
2018-04,31690.99089028737
2018-05,33589.74455057882
2018-06,33778.169471343506
2018-07,34913.57517226149
2018-08,36165.681317370494
2018-09,36206.62712030534
2018-10,34741.55023182219
2018-11,35436.84787961083
2018-12,31947.324769853843
2019-01,34480.93194348616
2019-02,35884.918311914036
2019-03,37034.2419467329
2019-04,38601.51980403008
2019-05,36401.68285129395
2019-06,38097.90463806436
2019-07,39525.64165367169
2019-08,39280.57548282262
2019-09,40436.32257089198
2019-10,40330.56441621996
2019-11,42305.6801181935
2019-12,42795.35915613911
2020-01,43436.224190069996
2020-02,40271.079355722155
2020-03,35050.518770380666
2020-04,39684.85325421758
2020-05,41058.52957993759
2020-06,41595.90944983457
2020-07,41810.97521379281
2020-08,44451.322683158876
2020-09,43575.1166934795
2020-10,42666.24668356517
2020-11,46400.28042936777
2020-12,47174.82095989864
2021-01,47065.788727758874
2021-02,48407.96928649648
2021-03,51980.53853639035
2021-04,53463.03041025355
2021-05,53016.274146636315
2021-06,56065.53510596996
2021-07,57292.451047672344
2021-08,59152.71093143604
2021-09,57926.53936773889
2021-10,61619.97310004345
2021-11,62539.75572580123
2021-12,64439.669494105
2022-01,61869.47757709574
2022-02,59340.45116850915
2022-03,63487.8619021967
2022-04,62629.77883304395
2022-05,59265.74437643863
2022-06,55685.2824334606
2022-07,61617.28856281053
2022-08,60634.05570869214
2022-09,57494.045654986694
2022-10,60430.840398434295
2022-11,61198.058645383986
2022-12,55623.12706864181
